"No.","Time","Source","Destination","Protocol","Length","Info"
"8016","23.280056830","192.168.163.128","183.111.43.34","HTTP","458","GET /webtoon/op/f18e47d6ca375b35ab937eb4e44486cfdb3c958b HTTP/1.1 "
"8034","23.282393184","183.111.43.34","192.168.163.128","HTTP","4101","HTTP/1.1 200 OK  (JPEG JFIF image)"
"8046","23.283663431","183.111.43.34","192.168.163.128","HTTP","941","HTTP/1.1 200 OK  (JPEG JFIF image)"
"8061","23.285606317","183.111.43.34","192.168.163.128","HTTP","3833","HTTP/1.1 200 OK  (JPEG JFIF image)"
"8638","23.378982992","121.53.218.13","192.168.163.128","HTTP","3033","HTTP/1.1 200 OK  (application/json)"
"8671","23.503682334","192.168.163.128","183.111.43.34","HTTP","458","GET /daumtop_deco/images/common/minidaum/minidaum_v5.png HTTP/1.1 "
"8683","23.507578626","183.111.43.34","192.168.163.128","HTTP","2845","HTTP/1.1 200 OK  (PNG)"
"8687","23.519302320","192.168.163.128","203.217.227.142","HTTP","458","GET /photo-section/-cartoon10/favicon/201312/favicon.ico HTTP/1.1 "
"8711","23.528621078","203.217.227.142","192.168.163.128","HTTP","1208","HTTP/1.1 200 OK  (image/x-icon)"
"8721","24.209637130","192.168.163.128","121.53.218.13","HTTP","767","GET /webtoon/view/noticingOutsider HTTP/1.1 "
"8826","24.252548895","121.53.218.13","192.168.163.128","HTTP","2363","HTTP/1.1 200 OK  (text/html)"
"8875","24.310017899","192.168.163.128","121.53.218.13","HTTP","747","GET /data/pc/my/popup_notice?timeStamp=1582528343024 HTTP/1.1 "
"8885","24.325191129","192.168.163.128","121.53.218.13","HTTP","913","GET /common/click?platform=pc&contentType=webtoon&contentId=1847&userId=&age=&gender= HTTP/1.1 "
"8889","24.325351564","192.168.163.128","121.53.218.13","HTTP","820","GET /data/pc/webtoon/view/noticingOutsider?timeStamp=1582528343024 HTTP/1.1 "
"8895","24.327830430","192.168.163.128","121.53.218.13","HTTP","814","GET /data/pc/cms/webtoon_home_notice?timeStamp=1582528343024 HTTP/1.1 "
